env,algorithm,config,eval_tau,run,mc_mean,mc_stddev,mc_cvar,cvar_regret,optimal_action_hit,catastrophic_count
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=4.000000,tau=0.050000",0.050000000000000003,0,0.14741457343101502,0.21787779076897137,-0.0625,0.0078125,1,21
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=4.000000,tau=0.050000",0.050000000000000003,1,0.11737293243408203,0.12367910823009549,-0.0625,0,1,11
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=4.000000,tau=0.100000",0.10000000000000001,0,0.062172148227691654,0.078768394888028073,-0.049037504196166995,0.0078125,1,6
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=4.000000,tau=0.100000",0.10000000000000001,1,0.15429980278015137,0.1810304714488214,-0.047916603088378903,0.0078125,1,4
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=4.000000,tau=0.200000",0.20000000000000001,0,0.12442357063293458,0.13992688511785376,-0.056997799873352052,0.0078124999999999957,1,27
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=4.000000,tau=0.200000",0.20000000000000001,1,0.18291056156158447,0.22633792067121056,-0.055084383487701415,0.015624999999999991,0,19
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=4.000000,tau=0.250000",0.25,0,0.21065383911132812,0.28390265559879146,-0.047153606414794921,0.0093749999999999944,1,14
bettinggame,CATSO,"atoms=25,optimism=4.000000,p=4.000000,tau=0.250000",0.25,1,0.10297532796859742,0.10056399348891427,-0.036165037155151368,0.0046874999999999972,1,6
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=1.000000,tau=0.050000",0.050000000000000003,0,0.16980746746063233,0.19889698680582377,-0.0625,0.0078125,1,10
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=1.000000,tau=0.050000",0.050000000000000003,1,0.16704944014549256,0.19022019080437805,-0.0625,0.0078125,1,11
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=1.000000,tau=0.100000",0.10000000000000001,0,0.084191889762878419,0.11371953906851165,-0.037584686279296876,0.0078125,1,2
bettinggame,CATSO,"atoms=25,optimism=8.000000,p=1.000000,tau=0.100000",0.10000000000000001,1,0.058087692260742188,0.054963169787164853,-0.021219444274902344,0.015625,0,0
